# Nonce           Types      Header1  Header2  Key1                             Key2
000000001e34b0ea8 Jpg/Jpg    ffd8fffe ffd8fffe 4e6f773f000000000000000000000000 4c347433722121210000000000000000
0129600000104597b Jpg/Flac   ffd8fffe 664c6143 01010101010101010101010101010101 02020202020202020202020202020202
00444000001b2d2b4 Jpg/Mp4    ffd8fffe 0000001c 01010101010101010101010101010101 02020202020202020202020202020202
015f0000007c92047 Jpg/TiffLE ffd8fffe 49492a00 01010101010101010101010101010101 02020202020202020202020202020202
01506000000e8e6bd Jpg/TiffBE ffd8fffe 4d4d002a 01010101010101010101010101010101 02020202020202020202020202020202
0115e00000211a2e9 Jpg/Flv    ffd8fffe 464c5601 01010101010101010101010101010101 02020202020202020202020202020202
001d4000002ab8bb9 Jpg/Wad-P  ffd8fffe 50574144 01010101010101010101010101010101 02020202020202020202020202020202
00f8a000006f63517 Jpg/Gzip   ffd8fffe 1f8b0808 01010101010101010101010101010101 02020202020202020202020202020202
003f6000001fe92bc Jpg/Png    ffd8fffe 89504e47 01010101010101010101010101010101 02020202020202020202020202020202
01296000003f0b6cb Jpg/Riff   ffd8fffe 52494646 01010101010101010101010101010101 02020202020202020202020202020202
01026000005398f08 Jpg/Rifx   ffd8fffe 52494658 01010101010101010101010101010101 02020202020202020202020202020202
0057c0000013ee434 Jpg/Id3v2  ffd8fffe 49443303 01010101010101010101010101010101 02020202020202020202020202020202
00f3c000000ab9310 Jpg/Rtf    ffd8fffe 7b5c7274 01010101010101010101010101010101 02020202020202020202020202020202
013ce000003064ec2 Jpg/Bmp    ffd8fffe 424d4e01 01010101010101010101010101010101 02020202020202020202020202020202
# Cpio ?
00924000000211398 Jpg/Ilda   ffd8fffe 494c4441 01010101010101010101010101010101 02020202020202020202020202020202
016da000003b86dc6 Jpg/Psd    ffd8fffe 38425053 01010101010101010101010101010101 02020202020202020202020202020202
010c2000000436af2 Jpg/Cab    ffd8fffe 4d534346 01010101010101010101010101010101 02020202020202020202020202020202
00c7e00000282b215 Jpg/Jp2    ffd8fffe 0000000c 01010101010101010101010101010101 02020202020202020202020202020202
00702000000417bf8 Jpg/Pcapng ffd8fffe 0a0d0d0a 01010101010101010101010101010101 02020202020202020202020202020202
011ac00000042e4ef Jpg/Elf    ffd8fffe 7f454c46 01010101010101010101010101010101 02020202020202020202020202020202
00be200000076f3b8 Jpg/Ar     ffd8fffe 213c6172 01010101010101010101010101010101 02020202020202020202020202020202
002be0000076ce37d Jpg/Pcap   ffd8fffe d4c3b2a1 01010101010101010101010101010101 02020202020202020202020202020202
01506000007a56506 Jpg/Ico    ffd8fffe 00000100 01010101010101010101010101010101 02020202020202020202020202020202
0115e0000014e11ec Jpg/Icc    ffd8fffe 000001c0 01010101010101010101010101010101 02020202020202020202020202020202
0004e0000019596c6 Jpg/Class  ffd8fffe cafebabe 01010101010101010101010101010101 02020202020202020202020202020202

0004e00000453561d Jpg/Wasm   ffd8fffe 0061736d 01010101010101010101010101010101 02020202020202020202020202020202
0163e00000101ed65 Jpg/Bpg    ffd8fffe 425047fb 01010101010101010101010101010101 02020202020202020202020202020202
012480000021e351d Jpg/Ogg    ffd8fffe 4f676753 01010101010101010101010101010101 02020202020202020202020202020202

00b940000047a0883 Jpg/Bzip2  ffd8fffe 425a6839 01010101010101010101010101010101 02020202020202020202020202020202
0030c0000044af4b2 Jpg/Ebml   ffd8fffe 1a45dfa3 01010101010101010101010101010101 02020202020202020202020202020202
0115e000000ee41de Jpg/Gif    ffd8fffe 47494638 01010101010101010101010101010101 02020202020202020202020202020202
01074000002685a64 Jpg/Lnk    ffd8fffe 4c000000 01010101010101010101010101010101 02020202020202020202020202020202
001860000058e88ce Jpg/iNes   ffd8fffe 4e45531a 01010101010101010101010101010101 02020202020202020202020202020202

1e0000000af2a63bd Jpg/Bmp    ffd8fffe02 424d4e0100 01010101010101010101010101010101 02020202020202020202020202020202
be20000089b223839 Jpg/Png    ffd8fffe01 89504e470d 01010101010101010101010101010101 02020202020202020202020202020202

